Dt_name Cre_transcriptID	Cre_transcript_E_value	Cre_geneID	Cre_proteinID	Cre_protein_definition
Locus_16_Transcript_1/1_Confidence_1.000_Length_1135	CHLREDRAFT195585	1e-112	MAY_RPL10a	Cre02.g101350.t1.1	Ribosomal protein L1p/L10e family
Locus_17_Transcript_1/6_Confidence_0.333_Length_2182	CHLREDRAFT184660	2e-09	estExt_fgenesh2_kg.C_300021	Cre09.g410900.t1.1	NA
Locus_17_Transcript_6/6_Confidence_0.722_Length_4410	CHLREDRAFT345325	2e-134	estExt_fgenesh1_pg.C_chromosome_90357	Cre09.g410850.t1.1	nitrate transporter2.5
Locus_19_Transcript_1/6_Confidence_0.286_Length_459	CHLREDRAFT126853	5e-47	estExt_gwp_1H.C_30304	Cre06.g257150.t1.1	Zinc-binding ribosomal protein family protein
Locus_20_Transcript_1/2_Confidence_0.625_Length_705	CHLREDRAFT126163	9e-23	estExt_gwp_1H.C_80209	Cre10.g430400.t1.1	Zinc-binding ribosomal protein family protein
Locus_22_Transcript_3/7_Confidence_0.364_Length_2340	CHLREDRAFT129019	0.0	estExt_gwp_1H.C_10155	Cre01.g010900.t1.1	glyceraldehyde-3-phosphate dehydrogenase B subunit
Locus_23_Transcript_10/10_Confidence_0.676_Length_2837	CHLREDRAFT195616	2e-153	MAY_157237	Cre12.g519200.t1.2	elongation factor Ts family protein
Locus_24_Transcript_6/7_Confidence_0.474_Length_2308	CHLREDRAFT182394	3e-30	estExt_fgenesh2_kg.C_30162	Cre06.g251700.t1.1	DnaJ/Hsp40 cysteine-rich domain superfamily protein
Locus_24_Transcript_7/7_Confidence_0.263_Length_1491			Cre26.g773100.t1.1	Plastid-lipid associated protein PAP / fibrillin family protein
Locus_26_Transcript_3/10_Confidence_0.067_Length_963	CHLREDRAFT322089	9e-24	kg.26_#_56_#_873622:1	Cre26.g773050.t1.1	NA
Locus_26_Transcript_10/10_Confidence_0.600_Length_1942	CHLREDRAFT133971	0.0	estExt_gwp_1W.C_50109	Cre02.g113200.t1.2	glutamine synthetase 1.3
Locus_27_Transcript_3/3_Confidence_0.400_Length_1458	CHLREDRAFT112569	3e-144	e_gwW.3.531.1	Cre06.g255400.t1.1	Transducin/WD40 repeat-like superfamily protein
Locus_28_Transcript_1/3_Confidence_0.714_Length_1356	CHLREDRAFT134824	8e-107	estExt_gwp_1W.C_20003	Cre13.g583550.t1.1	plastid transcriptionally active 4
Locus_29_Transcript_2/10_Confidence_0.105_Length_1386	CHLREDRAFT288765	4e-41	au.g6909_t1	Cre16.g692850.t1.2	Cobalamin biosynthesis CobW-like protein
Locus_31_Transcript_1/2_Confidence_0.667_Length_2662	CHLREDRAFT185148	8e-84	estExt_fgenesh2_kg.C_390018	Cre16.g651550.t1.1	Mitochondrial transcription termination factor family protein
Locus_31_Transcript_2/2_Confidence_0.667_Length_2157	CHLREDRAFT395753	2e-65	pasa_Sanger_mRNA15074	Cre16.g651500.t1.1	Proteasome component (PCI) domain protein
Locus_32_Transcript_5/6_Confidence_0.652_Length_1627	CHLREDRAFT205639	3e-45	SKA_Chlre2_kg.scaffold_11000050	Cre12.g502250.t1.1	Plastid-lipid associated protein PAP / fibrillin family protein
Locus_33_Transcript_11/15_Confidence_0.486_Length_3312	CHLREDRAFT141319	0.0	Chlre2_kg.scaffold_7000146	Cre02.g080200.t1.1	Transketolase
Locus_34_Transcript_3/6_Confidence_0.684_Length_1757	CHLREDRAFT195553	0.0	OVA_estExt_fgenesh2_kg.C_330003	Cre11.g476750.t1.1	root FNR 1
Locus_35_Transcript_1/1_Confidence_1.000_Length_1321			Cre13.g584900.t1.2	NA
Locus_38_Transcript_1/1_Confidence_1.000_Length_1565	CHLREDRAFT293274	9e-69	au.g11096_t1	Cre03.g197850.t1.2	NA
Locus_39_Transcript_1/1_Confidence_1.000_Length_1042	CHLREDRAFT137523	1e-45	estExt_gwp_1W.C_210089	Cre08.g385200.t1.1	Small nuclear ribonucleoprotein family protein
Locus_41_Transcript_2/3_Confidence_0.333_Length_921	CHLREDRAFT206683	2e-29	SKA_acegs_kg.scaffold_7000090	
Locus_41_Transcript_3/3_Confidence_0.667_Length_1546	CHLREDRAFT416096	3e-109	pasa_Sanger_mRNA20003	Cre01.g014650.t1.1	P4H isoform 2
Locus_42_Transcript_3/3_Confidence_0.667_Length_2270	CHLREDRAFT131550	0.0	estExt_gwp_1H.C_330009	Cre11.g477300.t1.2	protein phosphatase 2A  subunit A2
Locus_43_Transcript_1/1_Confidence_1.000_Length_1974	CHLREDRAFT406906	2e-22	pasa_Sanger_mRNA2378	Cre12.g484400.t1.2	NA
Locus_44_Transcript_27/33_Confidence_0.624_Length_6864	CHLREDRAFT299758	0.0	kg.chromosome_1_#_1483_#_XP_001689713.1	Cre01.g044350.t1.2	NA
Locus_46_Transcript_2/2_Confidence_0.667_Length_847	CHLREDRAFT195584	1e-136	MAY_e_gwH.22.72.1	Cre09.g388200.t1.2	senescence associated gene 24
Locus_49_Transcript_20/65_Confidence_1.000_Length_742			Cre12.g520173.t1.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Locus_49_Transcript_21/65_Confidence_1.000_Length_776	CHLREDRAFT195837	5e-113	FER_estExt_gwp_1W.C_30248	Cre06.g251800.t1.1	ATPase family associated with various cellular activities (AAA)
Locus_49_Transcript_46/65_Confidence_1.000_Length_366	CHLREDRAFT403915	5e-16	pasa_Sanger_mRNA13792	Cre05.g235400.t1.1	methyl-CPG-binding domain 9
Locus_49_Transcript_56/65_Confidence_0.149_Length_4328	CHLREDRAFT155961	8e-21	acegs_kg.scaffold_4000011	Cre10.g446500.t1.2	NA
Locus_49_Transcript_57/65_Confidence_0.092_Length_2746	CHLREDRAFT34069	1e-98	estExt_fgenesh1_pg.C_280053	Cre16.g671900.t1.1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1
Locus_49_Transcript_60/65_Confidence_0.139_Length_6452	CHLREDRAFT321619	1e-52	kg.20_#_111_#_TC49495	Cre02.g135300.t1.1	methyl-CPG-binding domain 9
Locus_49_Transcript_62/65_Confidence_0.094_Length_3339	CHLREDRAFT158244	3e-92	acegs_kg.scaffold_23000039	Cre02.g130950.t1.1	NAD(P)-linked oxidoreductase superfamily protein
Locus_49_Transcript_65/65_Confidence_0.171_Length_3072	CHLREDRAFT288483	2e-65	au.g6648_t1	Cre16.g679800.t1.1	alpha/beta-Hydrolases superfamily protein
Locus_50_Transcript_8/8_Confidence_0.650_Length_2483	CHLREDRAFT128726	4e-14	estExt_gwp_1H.C_150054	
Locus_51_Transcript_5/5_Confidence_0.636_Length_1596	CHLREDRAFT146575	2e-124	Chlre2_kg.scaffold_1000399	Cre01.g032700.t1.1	NA
Locus_53_Transcript_1/7_Confidence_0.760_Length_1869	CHLREDRAFT195598	0.0	MAY_e_gwH.23.50.1	Cre02.g134700.t1.1	Ribosomal protein L4/L1 family
Locus_54_Transcript_1/1_Confidence_1.000_Length_1132	CHLREDRAFT127857	3e-96	estExt_gwp_1H.C_100063	Cre10.g438100.t1.1	2-phosphoglycolate phosphatase 1
Locus_55_Transcript_6/6_Confidence_0.615_Length_1875	CHLREDRAFT138524	0.0	estExt_gwp_1W.C_340068	Cre03.g158000.t1.1	glutamate-1-semialdehyde 2,1-aminomutase 2
Locus_56_Transcript_2/2_Confidence_0.750_Length_1110	CHLREDRAFT183224	5e-64	estExt_fgenesh2_kg.C_130037	Cre17.g706850.t1.1	rhomboid protein-related
Locus_57_Transcript_10/10_Confidence_0.609_Length_1401	CHLREDRAFT184471	2e-48	estExt_fgenesh2_kg.C_260038	Cre06.g283050.t1.1	photosystem I light harvesting complex gene 1
Locus_58_Transcript_1/1_Confidence_1.000_Length_1121	CHLREDRAFT291988	1e-124	au.g9907_t1	Cre24.g768800.t1.2	sirtuin 2
Locus_60_Transcript_1/5_Confidence_0.455_Length_1540	CHLREDRAFT83282	0.0	estExt_GenewiseW_1.C_970031	Cre17.g719000.t1.1	DEAD/DEAH box RNA helicase family protein
Locus_61_Transcript_11/11_Confidence_0.200_Length_1311	CHLREDRAFT205935	2e-89	SKA_Chlre2_kg.scaffold_11000249	Cre12.g486300.t1.1	photosystem I subunit l
Locus_63_Transcript_9/9_Confidence_0.556_Length_2088	CHLREDRAFT56668	0.0	estExt_GenewiseH_1.C_180075	Cre13.g590500.t1.1	fatty acid desaturase 6
Locus_64_Transcript_1/1_Confidence_1.000_Length_2787	CHLREDRAFT195512	0.0	SAN_estExt_fgenesh1_pg.C_90104	Cre03.g175200.t1.1	translocon at the outer envelope membrane of chloroplasts 75-III
Locus_66_Transcript_1/1_Confidence_1.000_Length_1009	CHLREDRAFT24354	1e-72	estExt_fgenesh1_pm.C_380010	Cre13.g595250.t1.2	Translation protein SH3-like family protein
Locus_67_Transcript_6/7_Confidence_0.667_Length_3173	CHLREDRAFT136288	0.0	estExt_gwp_1W.C_160125	Cre07.g339150.t1.1	TCP-1/cpn60 chaperonin family protein
Locus_68_Transcript_1/1_Confidence_1.000_Length_588	CHLREDRAFT414547	2e-18	pasa_Sanger_mRNA21525	Cre10.g441800.t1.2	NA
Locus_69_Transcript_1/2_Confidence_0.667_Length_3570	CHLREDRAFT423394	0.0	pasa_Sanger_mRNA36292	Cre74.g795150.t1.1	Prolyl oligopeptidase family protein
Locus_69_Transcript_2/2_Confidence_0.667_Length_2023	CHLREDRAFT296026	2e-87	au.g13698_t1	
Locus_70_Transcript_2/2_Confidence_0.500_Length_1225	CHLREDRAFT195599	1e-101	MAY_e_gwH.31.235.1	Cre12.g529650.t1.1	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein
Locus_71_Transcript_2/2_Confidence_0.800_Length_1461	CHLREDRAFT148487	3e-17	Chlre2_kg.scaffold_21000100	Cre08.g380250.t1.1	CP12 domain-containing protein 1
Locus_73_Transcript_1/1_Confidence_1.000_Length_952	CHLREDRAFT195608	3e-49	MAY_171150	Cre02.g126450.t1.1	Ribosomal protein L24e family protein
Locus_74_Transcript_10/10_Confidence_0.417_Length_3035	CHLREDRAFT424536	0.0	pasa_Sanger_mRNA8856	Cre12.g514200.t1.1	Glucose-methanol-choline (GMC) oxidoreductase family protein
Locus_79_Transcript_1/1_Confidence_1.000_Length_1026	CHLREDRAFT149993	8e-49	Chlre2_kg.scaffold_30000051	Cre09.g411100.t1.1	RNA binding Plectin/S10 domain-containing protein
Locus_81_Transcript_1/9_Confidence_0.647_Length_983	CHLREDRAFT128309	9e-48	estExt_gwp_1H.C_120142	Cre06.g310700.t1.1	Zinc-binding ribosomal protein family protein
Locus_81_Transcript_7/9_Confidence_0.706_Length_1997	CHLREDRAFT324242	3e-38	pg.chromosome_2_#_35	Cre02.g076150.t1.1	NA
Locus_82_Transcript_1/10_Confidence_0.457_Length_1716	CHLREDRAFT185533	4e-39	estExt_fgenesh2_kg.C_510040	Cre23.g766250.t1.1	photosystem II light harvesting complex gene 2.2
Locus_87_Transcript_3/11_Confidence_0.459_Length_2869	CHLREDRAFT190061	3e-116	estExt_fgenesh2_pg.C_10645	Cre01.g044300.t1.1	NA
Locus_87_Transcript_9/11_Confidence_0.541_Length_3921	CHLREDRAFT283333	5e-113	au.g1832_t1	Cre01.g043250.t1.2	NA
Locus_88_Transcript_1/2_Confidence_0.750_Length_924	CHLREDRAFT286413	2e-39	au.g4711_t1	Cre13.g582400.t1.1	nudix hydrolase homolog 19
Locus_89_Transcript_3/3_Confidence_0.833_Length_3838	CHLREDRAFT128929	0.0	estExt_gwp_1H.C_10022	Cre01.g034000.t1.1	ARM repeat superfamily protein
Locus_90_Transcript_3/10_Confidence_0.083_Length_1322	CHLREDRAFT98021	2e-35	e_gwH.3.306.1	Cre06.g261000.t1.1	photosystem II subunit R
Locus_90_Transcript_9/10_Confidence_0.083_Length_2316	CHLREDRAFT415567	1e-86	pasa_Sanger_mRNA21411	Cre02.g141550.t1.1	ATP-dependent protease La (LON) domain protein
Locus_90_Transcript_10/10_Confidence_0.583_Length_3007	CHLREDRAFT142312	8e-09	Chlre2_kg.scaffold_3000285	Cre06.g260050.t1.1	NA
Locus_91_Transcript_13/16_Confidence_0.667_Length_4897	CHLREDRAFT184661	0.0	estExt_fgenesh2_kg.C_300022	Cre09.g410950.t1.1	nitrate reductase 2
Locus_92_Transcript_3/3_Confidence_0.833_Length_2668	CHLREDRAFT127873	0.0	estExt_gwp_1H.C_100091	Cre10.g439850.t1.1	transmembrane nine 7
Locus_95_Transcript_1/2_Confidence_0.750_Length_2831	CHLREDRAFT183831	1e-127	estExt_fgenesh2_kg.C_180055	Cre12.g532500.t1.1	Sodium Bile acid symporter family
Locus_96_Transcript_2/10_Confidence_0.567_Length_1843	CHLREDRAFT129868	0.0	estExt_gwp_1H.C_200090	Cre12.g542250.t1.1	tubulin beta chain 2
Locus_97_Transcript_3/3_Confidence_0.600_Length_1891	CHLREDRAFT193550	2e-111	estExt_fgenesh2_pg.C_440099	Cre13.g608000.t1.1	NAD(P)-binding Rossmann-fold superfamily protein
Locus_99_Transcript_1/1_Confidence_1.000_Length_1021	CHLREDRAFT195624	4e-38	MAY_168249	Cre08.g365400.t1.1	Ribosomal protein L31
Locus_101_Transcript_1/1_Confidence_1.000_Length_803	CHLREDRAFT57302	7e-30	estExt_GenewiseH_1.C_210125	Cre08.g382500.t1.1	Ribosomal protein S25 family protein
Locus_104_Transcript_1/1_Confidence_1.000_Length_2165	CHLREDRAFT149756	9e-129	Chlre2_kg.scaffold_27000025	Cre03.g151000.t1.1	dual specificity protein phosphatase (DsPTP1) family protein
Locus_105_Transcript_4/4_Confidence_0.571_Length_1031	CHLREDRAFT182959	2e-49	estExt_fgenesh2_kg.C_100106	Cre07.g330250.t1.1	photosystem I subunit H-1
Locus_107_Transcript_1/6_Confidence_0.500_Length_1815	CHLREDRAFT24459	1e-160	estExt_fgenesh1_pm.C_580004	Cre05.g234550.t1.1	fructose-bisphosphate aldolase 2
Locus_108_Transcript_4/9_Confidence_0.469_Length_2407	CHLREDRAFT289453	2e-93	au.g7558_t1	Cre17.g725650.t1.2	Sodium Bile acid symporter family
Locus_109_Transcript_16/18_Confidence_0.177_Length_3903	CHLREDRAFT169965	2e-16	fgenesh2_pg.C_scaffold_12000024	Cre06.g310600.t1.1	NA
Locus_109_Transcript_17/18_Confidence_0.153_Length_2500	CHLREDRAFT192088	5e-142	estExt_fgenesh2_pg.C_300059	Cre09.g410800.t1.1	nitrate transporter2.5
Locus_111_Transcript_18/19_Confidence_0.426_Length_3651	CHLREDRAFT94079	0.0	fgenesh1_est.C_scaffold_10000004	Cre10.g444700.t1.1	starch branching enzyme 2.2
Locus_112_Transcript_1/1_Confidence_1.000_Length_589	CHLREDRAFT144397	1e-09	Chlre2_kg.scaffold_10000277	Cre07.g328450.t1.1	NA
Locus_113_Transcript_7/9_Confidence_0.600_Length_3077	CHLREDRAFT287536	1e-42	au.g5768_t1	Cre15.g635500.t1.2	NA
Locus_114_Transcript_1/1_Confidence_1.000_Length_743	CHLREDRAFT146844	1e-93	Chlre2_kg.scaffold_1000668	Cre01.g047750.t1.1	Ribosomal protein L18ae/LX family protein
Locus_115_Transcript_1/7_Confidence_0.714_Length_1104	CHLREDRAFT136294	9e-102	estExt_gwp_1W.C_160133	Cre07.g344950.t1.1	photosystem I light harvesting complex gene 5
Locus_116_Transcript_2/2_Confidence_0.667_Length_1612	CHLREDRAFT170872	1e-83	fgenesh2_pg.C_scaffold_14000322	Cre16.g671500.t1.1	NA
Locus_117_Transcript_1/1_Confidence_1.000_Length_2171	CHLREDRAFT109222	1e-109	e_gwH.214.4.1	Cre67.g793650.t1.2	ARM repeat superfamily protein
Locus_118_Transcript_1/1_Confidence_1.000_Length_947	CHLREDRAFT183558	8e-39	estExt_fgenesh2_kg.C_10050	Cre01.g016900.t1.1	NA
Locus_120_Transcript_28/29_Confidence_0.571_Length_6309	CHLREDRAFT195524	0.0	RWI_estExt_fgenesh2_pg.C_60376	Cre07.g325500.t1.1	magnesium-chelatase subunit chlH, chloroplast, putative / Mg-protoporphyrin IX chelatase, putative (CHLH)
Locus_121_Transcript_3/3_Confidence_0.600_Length_1400	CHLREDRAFT205993	2e-144	OVA_estExt_fgenesh2_kg.C_10120	Cre01.g031100.t1.1	protein containing PDZ domain, a K-box domain, and a TPR region
Locus_125_Transcript_1/1_Confidence_1.000_Length_998	CHLREDRAFT297366	1e-30	au.g14965_t1	Cre08.g375128.t1.1	splicing factor PWI domain-containing protein / RNA recognition motif (RRM)-containing protein
Locus_127_Transcript_1/1_Confidence_1.000_Length_1007	CHLREDRAFT413651	2e-56	pasa_Sanger_mRNA11339	Cre13.g580850.t1.1	ribosomal protein L22
Locus_128_Transcript_1/1_Confidence_1.000_Length_2115	CHLREDRAFT126153	1e-177	estExt_gwp_1H.C_80196	Cre10.g424850.t1.1	pre-mRNA processing ribonucleoprotein binding region-containing protein
Locus_129_Transcript_10/18_Confidence_0.420_Length_4502	CHLREDRAFT97057	5e-159	e_gwH.7.17.1	Cre02.g080650.t1.1	Chaperone protein htpG family protein
Locus_129_Transcript_13/18_Confidence_0.617_Length_6335	CHLREDRAFT133859	0.0	estExt_gwp_1W.C_70314	Cre02.g080700.t1.1	Heat shock protein 70 (Hsp 70) family protein
Locus_131_Transcript_7/10_Confidence_0.643_Length_3571	CHLREDRAFT155301	0.0	acegs_kg.scaffold_7000028	Cre02.g076250.t1.1	Translation elongation factor EFG/EF2 protein
Locus_132_Transcript_4/4_Confidence_0.625_Length_1198	CHLREDRAFT132678	2e-91	estExt_gwp_1H.C_660032	Cre18.g749900.t1.1	ATP synthase delta-subunit gene
Locus_133_Transcript_1/8_Confidence_0.200_Length_1284	CHLREDRAFT130316	8e-130	estExt_gwp_1H.C_230040	Cre02.g132800.t1.1	PS II oxygen-evolving complex 1
Locus_136_Transcript_2/2_Confidence_0.833_Length_803	CHLREDRAFT171434	5e-57	fgenesh2_pg.C_scaffold_1000055	Cre01.g012500.t1.1	prenylated RAB acceptor 1.B5
Locus_138_Transcript_1/1_Confidence_1.000_Length_3241	CHLREDRAFT405048	2e-163	pasa_Sanger_mRNA1802	Cre01.g007700.t1.2	Cytosol aminopeptidase family protein
Locus_139_Transcript_7/12_Confidence_0.065_Length_1725	CHLREDRAFT394473	3e-08	pasa_Sanger_mRNA12519	
Locus_139_Transcript_12/12_Confidence_0.565_Length_3716	CHLREDRAFT111940	2e-90	e_gwW.5.102.1	Cre02.g114500.t1.1	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Locus_143_Transcript_1/6_Confidence_0.545_Length_1315	CHLREDRAFT142363	7e-106	Chlre2_kg.scaffold_3000336	Cre06.g257601.t1.1	2-cysteine peroxiredoxin B
Locus_145_Transcript_48/54_Confidence_0.100_Length_2649	CHLREDRAFT149381	1e-150	Chlre2_kg.scaffold_26000116	Cre06.g284150.t1.2	ammonium transporter 1;3
Locus_145_Transcript_50/54_Confidence_0.197_Length_5353	CHLREDRAFT149366	9e-74	Chlre2_kg.scaffold_26000101	Cre06.g283400.t1.1	Sucrose-6F-phosphate phosphohydrolase family protein
Locus_145_Transcript_53/54_Confidence_0.046_Length_2834	CHLREDRAFT137778	0.0	estExt_gwp_1W.C_230107	Cre02.g130650.t1.1	Inorganic H pyrophosphatase family protein
Locus_146_Transcript_6/6_Confidence_0.500_Length_2493	CHLREDRAFT127081	0.0	estExt_gwp_1H.C_60065	Cre07.g324050.t1.1	cullin 3
Locus_147_Transcript_2/2_Confidence_1.000_Length_2470	CHLREDRAFT377548	0.0	estExt_fgenesh1_pm.C_chromosome_30117	Cre03.g158750.t1.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Locus_148_Transcript_1/1_Confidence_1.000_Length_2597	CHLREDRAFT398861	4e-82	pasa_Sanger_mRNA32741	Cre09.g408850.t1.2	Metallopeptidase M24 family protein
Locus_149_Transcript_1/1_Confidence_1.000_Length_2069	CHLREDRAFT116746	0.0	e_gwW.1.63.1	Cre01.g026550.t1.1	TCP-1/cpn60 chaperonin family protein
Locus_150_Transcript_4/9_Confidence_0.229_Length_1146	CHLREDRAFT297144	1e-73	au.g14758_t1	Cre08.g364700.t1.1	RNA-binding (RRM/RBD/RNP motifs) family protein
Locus_151_Transcript_1/2_Confidence_1.000_Length_1294	CHLREDRAFT412853	8e-20	pasa_Sanger_mRNA11766	Cre13.g600500.t1.1	translocase of outer membrane 22-V
Locus_152_Transcript_1/2_Confidence_0.750_Length_1340	CHLREDRAFT206190	5e-63	FER_Chlre2_kg.scaffold_33000094	Cre11.g481450.t1.1	ATPase, F0 complex, subunit B/B\', bacterial/chloroplast
Locus_153_Transcript_2/4_Confidence_0.625_Length_1910	CHLREDRAFT33411	2e-84	estExt_fgenesh1_pg.C_200230	Cre12.g550850.t1.1	photosystem II subunit P-1
Locus_154_Transcript_2/2_Confidence_0.667_Length_1359	CHLREDRAFT174103	1e-110	fgenesh2_pg.C_scaffold_24000178	Cre02.g122450.t1.1	pyrophosphorylase 4
Locus_155_Transcript_1/3_Confidence_0.778_Length_1474	CHLREDRAFT128114	0.0	estExt_gwp_1H.C_110201	Cre12.g489750.t1.1	Transducin family protein / WD-40 repeat family protein
Locus_156_Transcript_8/10_Confidence_0.389_Length_6935	CHLREDRAFT148829	6e-146	Chlre2_kg.scaffold_24000228	Cre02.g125650.t1.2	SEC7-like guanine nucleotide exchange family protein
