Dt_name Cre_transcriptID	Cre_transcript	E_value	Cre_geneID
Locus_5_Transcript_973/1220_Confidence_1.000_Length_2060	CHLREDRAFT_38363	0.0	gwH.3.28.1
Locus_5_Transcript_983/1220_Confidence_1.000_Length_122	CHLREDRAFT_106469	6e-14	e_gwH.44.32.1
Locus_5_Transcript_1211/1220_Confidence_0.004_Length_2954	CHLREDRAFT_56014	2e-89	estExt_GenewiseH_1.C_150140
Locus_6_Transcript_1/1_Confidence_1.000_Length_2199	CHLREDRAFT_161085	0.0	fgenesh2_kg.C_scaffold_3000023
Locus_10_Transcript_1/1_Confidence_1.000_Length_1608	CHLREDRAFT_104382	7e-53	e_gwH.25.98.1
Locus_11_Transcript_3/3_Confidence_0.880_Length_7794	CHLREDRAFT_406160	1e-128	pasa_Sanger_mRNA1496
Locus_13_Transcript_2/5_Confidence_0.273_Length_1544	CHLREDRAFT_407573	4e-64	pasa_Sanger_mRNA1516
Locus_14_Transcript_1/1_Confidence_1.000_Length_1444	CHLREDRAFT_144056	1e-13	Chlre2_kg.scaffold_9000287
Locus_15_Transcript_23/108_Confidence_1.000_Length_381	CHLREDRAFT_294620	3e-13	au.g12372_t1
Locus_15_Transcript_26/108_Confidence_1.000_Length_1536	CHLREDRAFT_206544	2e-48	SKA_Chlre2_kg.scaffold_1000380
Locus_15_Transcript_68/108_Confidence_1.000_Length_1522	CHLREDRAFT_81760	0.0	estExt_GenewiseW_1.C_410007
Locus_15_Transcript_84/108_Confidence_1.000_Length_101	CHLREDRAFT_285171	4e-07	au.g3540_t1
Locus_16_Transcript_1/1_Confidence_1.000_Length_1135	CHLREDRAFT_195585	1e-112	MAY_RPL10a
Locus_17_Transcript_1/6_Confidence_0.333_Length_2182	CHLREDRAFT_184660	2e-09	estExt_fgenesh2_kg.C_300021
Locus_17_Transcript_6/6_Confidence_0.722_Length_4410	CHLREDRAFT_345325	2e-134	estExt_fgenesh1_pg.C_chromosome_90357
Locus_19_Transcript_1/6_Confidence_0.286_Length_459	CHLREDRAFT_126853	5e-47	estExt_gwp_1H.C_30304
Locus_20_Transcript_1/2_Confidence_0.625_Length_705	CHLREDRAFT_126163	9e-23	estExt_gwp_1H.C_80209
Locus_22_Transcript_3/7_Confidence_0.364_Length_2340	CHLREDRAFT_129019	0.0	estExt_gwp_1H.C_10155
Locus_23_Transcript_10/10_Confidence_0.676_Length_2837	CHLREDRAFT_195616	2e-153	MAY_157237
Locus_24_Transcript_6/7_Confidence_0.474_Length_2308	CHLREDRAFT_182394	3e-30	estExt_fgenesh2_kg.C_30162
Locus_26_Transcript_3/10_Confidence_0.067_Length_963	CHLREDRAFT_322089	9e-24	kg.26_#_56_#_873622:1
Locus_26_Transcript_10/10_Confidence_0.600_Length_1942	CHLREDRAFT_133971	0.0	estExt_gwp_1W.C_50109
Locus_27_Transcript_3/3_Confidence_0.400_Length_1458	CHLREDRAFT_112569	3e-144	e_gwW.3.531.1
Locus_28_Transcript_1/3_Confidence_0.714_Length_1356	CHLREDRAFT_134824	8e-107	estExt_gwp_1W.C_20003
Locus_29_Transcript_2/10_Confidence_0.105_Length_1386	CHLREDRAFT_288765	4e-41	au.g6909_t1
Locus_31_Transcript_1/2_Confidence_0.667_Length_2662	CHLREDRAFT_185148	8e-84	estExt_fgenesh2_kg.C_390018
Locus_31_Transcript_2/2_Confidence_0.667_Length_2157	CHLREDRAFT_395753	2e-65	pasa_Sanger_mRNA15074
Locus_32_Transcript_5/6_Confidence_0.652_Length_1627	CHLREDRAFT_205639	3e-45	SKA_Chlre2_kg.scaffold_11000050
Locus_33_Transcript_11/15_Confidence_0.486_Length_3312	CHLREDRAFT_141319	0.0	Chlre2_kg.scaffold_7000146
Locus_34_Transcript_3/6_Confidence_0.684_Length_1757	CHLREDRAFT_195553	0.0	OVA_estExt_fgenesh2_kg.C_330003
Locus_38_Transcript_1/1_Confidence_1.000_Length_1565	CHLREDRAFT_293274	9e-69	au.g11096_t1
Locus_39_Transcript_1/1_Confidence_1.000_Length_1042	CHLREDRAFT_137523	1e-45	estExt_gwp_1W.C_210089
Locus_41_Transcript_2/3_Confidence_0.333_Length_921	CHLREDRAFT_206683	2e-29	SKA_acegs_kg.scaffold_7000090
Locus_41_Transcript_3/3_Confidence_0.667_Length_1546	CHLREDRAFT_416096	3e-109	pasa_Sanger_mRNA20003
Locus_42_Transcript_3/3_Confidence_0.667_Length_2270	CHLREDRAFT_131550	0.0	estExt_gwp_1H.C_330009
Locus_43_Transcript_1/1_Confidence_1.000_Length_1974	CHLREDRAFT_406906	2e-22	pasa_Sanger_mRNA2378
Locus_44_Transcript_27/33_Confidence_0.624_Length_6864	CHLREDRAFT_299758	0.0	kg.chromosome_1_#_1483_#_XP_001689713.1
Locus_46_Transcript_2/2_Confidence_0.667_Length_847	CHLREDRAFT_195584	1e-136	MAY_e_gwH.22.72.1
Locus_49_Transcript_21/65_Confidence_1.000_Length_776	CHLREDRAFT_195837	5e-113	FER_estExt_gwp_1W.C_30248
Locus_49_Transcript_46/65_Confidence_1.000_Length_366	CHLREDRAFT_403915	5e-16	pasa_Sanger_mRNA13792
Locus_49_Transcript_56/65_Confidence_0.149_Length_4328	CHLREDRAFT_155961	8e-21	acegs_kg.scaffold_4000011
Locus_49_Transcript_57/65_Confidence_0.092_Length_2746	CHLREDRAFT_34069	1e-98	estExt_fgenesh1_pg.C_280053
Locus_49_Transcript_60/65_Confidence_0.139_Length_6452	CHLREDRAFT_321619	1e-52	kg.20_#_111_#_TC49495
Locus_49_Transcript_62/65_Confidence_0.094_Length_3339	CHLREDRAFT_158244	3e-92	acegs_kg.scaffold_23000039
Locus_49_Transcript_65/65_Confidence_0.171_Length_3072	CHLREDRAFT_288483	2e-65	au.g6648_t1
Locus_50_Transcript_8/8_Confidence_0.650_Length_2483	CHLREDRAFT_128726	4e-14	estExt_gwp_1H.C_150054
Locus_51_Transcript_5/5_Confidence_0.636_Length_1596	CHLREDRAFT_146575	2e-124	Chlre2_kg.scaffold_1000399
Locus_53_Transcript_1/7_Confidence_0.760_Length_1869	CHLREDRAFT_195598	0.0	MAY_e_gwH.23.50.1
Locus_54_Transcript_1/1_Confidence_1.000_Length_1132	CHLREDRAFT_127857	3e-96	estExt_gwp_1H.C_100063
Locus_55_Transcript_6/6_Confidence_0.615_Length_1875	CHLREDRAFT_138524	0.0	estExt_gwp_1W.C_340068
Locus_56_Transcript_2/2_Confidence_0.750_Length_1110	CHLREDRAFT_183224	5e-64	estExt_fgenesh2_kg.C_130037
Locus_57_Transcript_10/10_Confidence_0.609_Length_1401	CHLREDRAFT_184471	2e-48	estExt_fgenesh2_kg.C_260038
Locus_58_Transcript_1/1_Confidence_1.000_Length_1121	CHLREDRAFT_291988	1e-124	au.g9907_t1
Locus_60_Transcript_1/5_Confidence_0.455_Length_1540	CHLREDRAFT_83282	0.0	estExt_GenewiseW_1.C_970031
Locus_61_Transcript_11/11_Confidence_0.200_Length_1311	CHLREDRAFT_205935	2e-89	SKA_Chlre2_kg.scaffold_11000249
Locus_63_Transcript_9/9_Confidence_0.556_Length_2088	CHLREDRAFT_56668	0.0	estExt_GenewiseH_1.C_180075
Locus_64_Transcript_1/1_Confidence_1.000_Length_2787	CHLREDRAFT_195512	0.0	SAN_estExt_fgenesh1_pg.C_90104
Locus_66_Transcript_1/1_Confidence_1.000_Length_1009	CHLREDRAFT_24354	1e-72	estExt_fgenesh1_pm.C_380010
Locus_67_Transcript_6/7_Confidence_0.667_Length_3173	CHLREDRAFT_136288	0.0	estExt_gwp_1W.C_160125
Locus_68_Transcript_1/1_Confidence_1.000_Length_588	CHLREDRAFT_414547	2e-18	pasa_Sanger_mRNA21525
Locus_69_Transcript_1/2_Confidence_0.667_Length_3570	CHLREDRAFT_423394	0.0	pasa_Sanger_mRNA36292
Locus_69_Transcript_2/2_Confidence_0.667_Length_2023	CHLREDRAFT_296026	2e-87	au.g13698_t1
Locus_70_Transcript_2/2_Confidence_0.500_Length_1225	CHLREDRAFT_195599	1e-101	MAY_e_gwH.31.235.1
Locus_71_Transcript_2/2_Confidence_0.800_Length_1461	CHLREDRAFT_148487	3e-17	Chlre2_kg.scaffold_21000100
Locus_73_Transcript_1/1_Confidence_1.000_Length_952	CHLREDRAFT_195608	3e-49	MAY_171150
Locus_74_Transcript_10/10_Confidence_0.417_Length_3035	CHLREDRAFT_424536	0.0	pasa_Sanger_mRNA8856
Locus_79_Transcript_1/1_Confidence_1.000_Length_1026	CHLREDRAFT_149993	8e-49	Chlre2_kg.scaffold_30000051
Locus_81_Transcript_1/9_Confidence_0.647_Length_983	CHLREDRAFT_128309	9e-48	estExt_gwp_1H.C_120142
Locus_81_Transcript_7/9_Confidence_0.706_Length_1997	CHLREDRAFT_324242	3e-38	pg.chromosome_2_#_35
Locus_82_Transcript_1/10_Confidence_0.457_Length_1716	CHLREDRAFT_185533	4e-39	estExt_fgenesh2_kg.C_510040
Locus_87_Transcript_3/11_Confidence_0.459_Length_2869	CHLREDRAFT_190061	3e-116	estExt_fgenesh2_pg.C_10645
Locus_87_Transcript_9/11_Confidence_0.541_Length_3921	CHLREDRAFT_283333	5e-113	au.g1832_t1
Locus_88_Transcript_1/2_Confidence_0.750_Length_924	CHLREDRAFT_286413	2e-39	au.g4711_t1
Locus_89_Transcript_3/3_Confidence_0.833_Length_3838	CHLREDRAFT_128929	0.0	estExt_gwp_1H.C_10022
Locus_90_Transcript_3/10_Confidence_0.083_Length_1322	CHLREDRAFT_98021	2e-35	e_gwH.3.306.1
Locus_90_Transcript_9/10_Confidence_0.083_Length_2316	CHLREDRAFT_415567	1e-86	pasa_Sanger_mRNA21411
Locus_90_Transcript_10/10_Confidence_0.583_Length_3007	CHLREDRAFT_142312	8e-09	Chlre2_kg.scaffold_3000285
Locus_91_Transcript_13/16_Confidence_0.667_Length_4897	CHLREDRAFT_184661	0.0	estExt_fgenesh2_kg.C_300022
Locus_92_Transcript_3/3_Confidence_0.833_Length_2668	CHLREDRAFT_127873	0.0	estExt_gwp_1H.C_100091
Locus_95_Transcript_1/2_Confidence_0.750_Length_2831	CHLREDRAFT_183831	1e-127	estExt_fgenesh2_kg.C_180055
Locus_96_Transcript_2/10_Confidence_0.567_Length_1843	CHLREDRAFT_129868	0.0	estExt_gwp_1H.C_200090
Locus_97_Transcript_3/3_Confidence_0.600_Length_1891	CHLREDRAFT_193550	2e-111	estExt_fgenesh2_pg.C_440099
Locus_99_Transcript_1/1_Confidence_1.000_Length_1021	CHLREDRAFT_195624	4e-38	MAY_168249
Locus_101_Transcript_1/1_Confidence_1.000_Length_803	CHLREDRAFT_57302	7e-30	estExt_GenewiseH_1.C_210125
Locus_104_Transcript_1/1_Confidence_1.000_Length_2165	CHLREDRAFT_149756	9e-129	Chlre2_kg.scaffold_27000025
Locus_105_Transcript_4/4_Confidence_0.571_Length_1031	CHLREDRAFT_182959	2e-49	estExt_fgenesh2_kg.C_100106
Locus_107_Transcript_1/6_Confidence_0.500_Length_1815	CHLREDRAFT_24459	1e-160	estExt_fgenesh1_pm.C_580004
Locus_108_Transcript_4/9_Confidence_0.469_Length_2407	CHLREDRAFT_289453	2e-93	au.g7558_t1
Locus_109_Transcript_16/18_Confidence_0.177_Length_3903	CHLREDRAFT_169965	2e-16	fgenesh2_pg.C_scaffold_12000024
Locus_109_Transcript_17/18_Confidence_0.153_Length_2500	CHLREDRAFT_192088	5e-142	estExt_fgenesh2_pg.C_300059
Locus_111_Transcript_18/19_Confidence_0.426_Length_3651	CHLREDRAFT_94079	0.0	fgenesh1_est.C_scaffold_10000004
Locus_112_Transcript_1/1_Confidence_1.000_Length_589	CHLREDRAFT_144397	1e-09	Chlre2_kg.scaffold_10000277
Locus_113_Transcript_7/9_Confidence_0.600_Length_3077	CHLREDRAFT_287536	1e-42	au.g5768_t1
Locus_114_Transcript_1/1_Confidence_1.000_Length_743	CHLREDRAFT_146844	1e-93	Chlre2_kg.scaffold_1000668
Locus_115_Transcript_1/7_Confidence_0.714_Length_1104	CHLREDRAFT_136294	9e-102	estExt_gwp_1W.C_160133
Locus_116_Transcript_2/2_Confidence_0.667_Length_1612	CHLREDRAFT_170872	1e-83	fgenesh2_pg.C_scaffold_14000322
Locus_117_Transcript_1/1_Confidence_1.000_Length_2171	CHLREDRAFT_109222	1e-109	e_gwH.214.4.1
Locus_118_Transcript_1/1_Confidence_1.000_Length_947	CHLREDRAFT_183558	8e-39	estExt_fgenesh2_kg.C_10050
Locus_120_Transcript_28/29_Confidence_0.571_Length_6309	CHLREDRAFT_195524	0.0	RWI_estExt_fgenesh2_pg.C_60376
Locus_121_Transcript_3/3_Confidence_0.600_Length_1400	CHLREDRAFT_205993	2e-144	OVA_estExt_fgenesh2_kg.C_10120
Locus_125_Transcript_1/1_Confidence_1.000_Length_998	CHLREDRAFT_297366	1e-30	au.g14965_t1
Locus_127_Transcript_1/1_Confidence_1.000_Length_1007	CHLREDRAFT_413651	2e-56	pasa_Sanger_mRNA11339
Locus_128_Transcript_1/1_Confidence_1.000_Length_2115	CHLREDRAFT_126153	1e-177	estExt_gwp_1H.C_80196
Locus_129_Transcript_10/18_Confidence_0.420_Length_4502	CHLREDRAFT_97057	5e-159	e_gwH.7.17.1
Locus_129_Transcript_13/18_Confidence_0.617_Length_6335	CHLREDRAFT_133859	0.0	estExt_gwp_1W.C_70314
Locus_131_Transcript_7/10_Confidence_0.643_Length_3571	CHLREDRAFT_155301	0.0	acegs_kg.scaffold_7000028
Locus_132_Transcript_4/4_Confidence_0.625_Length_1198	CHLREDRAFT_132678	2e-91	estExt_gwp_1H.C_660032
Locus_133_Transcript_1/8_Confidence_0.200_Length_1284	CHLREDRAFT_130316	8e-130	estExt_gwp_1H.C_230040
Locus_136_Transcript_2/2_Confidence_0.833_Length_803	CHLREDRAFT_171434	5e-57	fgenesh2_pg.C_scaffold_1000055
Locus_138_Transcript_1/1_Confidence_1.000_Length_3241	CHLREDRAFT_405048	2e-163	pasa_Sanger_mRNA1802
Locus_139_Transcript_7/12_Confidence_0.065_Length_1725	CHLREDRAFT_394473	3e-08	pasa_Sanger_mRNA12519
Locus_139_Transcript_12/12_Confidence_0.565_Length_3716	CHLREDRAFT_111940	2e-90	e_gwW.5.102.1
Locus_143_Transcript_1/6_Confidence_0.545_Length_1315	CHLREDRAFT_142363	7e-106	Chlre2_kg.scaffold_3000336
Locus_145_Transcript_48/54_Confidence_0.100_Length_2649	CHLREDRAFT_149381	1e-150	Chlre2_kg.scaffold_26000116
Locus_145_Transcript_50/54_Confidence_0.197_Length_5353	CHLREDRAFT_149366	9e-74	Chlre2_kg.scaffold_26000101
Locus_145_Transcript_53/54_Confidence_0.046_Length_2834	CHLREDRAFT_137778	0.0	estExt_gwp_1W.C_230107
Locus_146_Transcript_6/6_Confidence_0.500_Length_2493	CHLREDRAFT_127081	0.0	estExt_gwp_1H.C_60065
Locus_147_Transcript_2/2_Confidence_1.000_Length_2470	CHLREDRAFT_377548	0.0	estExt_fgenesh1_pm.C_chromosome_30117
Locus_148_Transcript_1/1_Confidence_1.000_Length_2597	CHLREDRAFT_398861	4e-82	pasa_Sanger_mRNA32741
Locus_149_Transcript_1/1_Confidence_1.000_Length_2069	CHLREDRAFT_116746	0.0	e_gwW.1.63.1
Locus_150_Transcript_4/9_Confidence_0.229_Length_1146	CHLREDRAFT_297144	1e-73	au.g14758_t1
Locus_151_Transcript_1/2_Confidence_1.000_Length_1294	CHLREDRAFT_412853	8e-20	pasa_Sanger_mRNA11766
Locus_152_Transcript_1/2_Confidence_0.750_Length_1340	CHLREDRAFT_206190	5e-63	FER_Chlre2_kg.scaffold_33000094
Locus_153_Transcript_2/4_Confidence_0.625_Length_1910	CHLREDRAFT_33411	2e-84	estExt_fgenesh1_pg.C_200230
Locus_154_Transcript_2/2_Confidence_0.667_Length_1359	CHLREDRAFT_174103	1e-110	fgenesh2_pg.C_scaffold_24000178
Locus_155_Transcript_1/3_Confidence_0.778_Length_1474	CHLREDRAFT_128114	0.0	estExt_gwp_1H.C_110201
Locus_156_Transcript_8/10_Confidence_0.389_Length_6935	CHLREDRAFT_148829	6e-146	Chlre2_kg.scaffold_24000228
Locus_159_Transcript_3/7_Confidence_0.429_Length_2507	CHLREDRAFT_116375	3e-146	e_gwW.1.50.1
Locus_160_Transcript_12/12_Confidence_0.593_Length_3389	CHLREDRAFT_196568	0.0	LOH_estExt_fgenesh2_kg.C_710008
Locus_162_Transcript_2/2_Confidence_0.667_Length_1095	CHLREDRAFT_344487	2e-95	estExt_fgenesh1_pg.C_chromosome_60719
Locus_163_Transcript_1/1_Confidence_1.000_Length_1604	CHLREDRAFT_307610	9e-97	kg.chromosome_6_#_1881_#_XP_001695358.1
Locus_164_Transcript_1/1_Confidence_1.000_Length_1720	CHLREDRAFT_194316	1e-161	estExt_fgenesh2_pg.C_590022
Locus_165_Transcript_3/5_Confidence_0.615_Length_2986	CHLREDRAFT_153191	3e-31	Chlre2_kg.scaffold_56000008
Locus_166_Transcript_1/2_Confidence_0.875_Length_2212	CHLREDRAFT_126518	1e-152	estExt_gwp_1H.C_50072
Locus_167_Transcript_1/3_Confidence_0.615_Length_849	CHLREDRAFT_127247	2e-47	estExt_gwp_1H.C_40068
Locus_170_Transcript_3/3_Confidence_0.600_Length_926	CHLREDRAFT_174711	8e-61	fgenesh2_pg.C_scaffold_26000093
Locus_174_Transcript_3/26_Confidence_1.000_Length_355	CHLREDRAFT_93901	1e-31	fgenesh1_est.C_scaffold_2000026
Locus_174_Transcript_17/26_Confidence_0.040_Length_894	CHLREDRAFT_392812	2e-23	pasa_Sanger_mRNA29953
Locus_174_Transcript_25/26_Confidence_0.224_Length_4827	CHLREDRAFT_323965	0.0	pg.chromosome_1_#_754
Locus_177_Transcript_15/17_Confidence_0.698_Length_2978	CHLREDRAFT_185673	0.0	estExt_fgenesh2_kg.C_640006
Locus_178_Transcript_14/17_Confidence_0.557_Length_3367	CHLREDRAFT_138117	0.0	estExt_gwp_1W.C_250014
Locus_178_Transcript_16/17_Confidence_0.101_Length_1357	CHLREDRAFT_195847	1e-59	PIE_chlre3.38.118.3.31
Locus_179_Transcript_2/2_Confidence_0.667_Length_659	CHLREDRAFT_143072	2e-74	Chlre2_kg.scaffold_4000195
Locus_182_Transcript_2/2_Confidence_0.667_Length_805	CHLREDRAFT_180130	6e-88	fgenesh2_pg.C_scaffold_83000034
Locus_184_Transcript_1/3_Confidence_0.375_Length_1241	CHLREDRAFT_195605	1e-86	MAY_chlre3.3.122.1.1
Locus_187_Transcript_3/5_Confidence_0.733_Length_4133	CHLREDRAFT_206035	0.0	OVA_e_gwW.32.1.1
Locus_188_Transcript_1/1_Confidence_1.000_Length_1825	CHLREDRAFT_76989	1e-156	estExt_GenewiseW_1.C_30554
Locus_190_Transcript_3/3_Confidence_0.714_Length_1464	CHLREDRAFT_196520	3e-174	JLM_estExt_gwp_1W.C_250131
Locus_192_Transcript_3/3_Confidence_0.786_Length_2997	CHLREDRAFT_152708	0.0	Chlre2_kg.scaffold_50000042
Locus_193_Transcript_4/4_Confidence_0.600_Length_1332	CHLREDRAFT_206548	4e-51	SKA_fgenesh2_kg.C_scaffold_74000005
Locus_194_Transcript_6/7_Confidence_0.500_Length_1288	CHLREDRAFT_205987	5e-56	SKA_Chlre2_kg.scaffold_27000158
Locus_195_Transcript_4/10_Confidence_0.323_Length_920	CHLREDRAFT_196845	1e-94	OVA_estExt_fgenesh2_pg.C_220172
Locus_195_Transcript_9/10_Confidence_0.387_Length_660	CHLREDRAFT_195594	9e-81	MAY_e_gwH.52.39.1
Locus_195_Transcript_10/10_Confidence_0.355_Length_375	CHLREDRAFT_140045	2e-51	estExt_gwp_1W.C_660019
Locus_197_Transcript_1/2_Confidence_0.667_Length_1502	CHLREDRAFT_317639	8e-174	kg.chromosome_14_#_417_#_chlre3.17.161.1.1
Locus_199_Transcript_3/5_Confidence_0.571_Length_3445	CHLREDRAFT_149311	0.0	Chlre2_kg.scaffold_26000046
Locus_201_Transcript_4/4_Confidence_0.769_Length_1865	CHLREDRAFT_24084	0.0	estExt_fgenesh1_pm.C_110016
Locus_202_Transcript_1/3_Confidence_0.500_Length_462	CHLREDRAFT_195601	4e-53	MAY_e_gwH.78.57.1
Locus_203_Transcript_4/4_Confidence_0.667_Length_931	CHLREDRAFT_292075	1e-88	au.g9990_t1
Locus_204_Transcript_4/4_Confidence_0.765_Length_2208	CHLREDRAFT_344957	7e-63	estExt_fgenesh1_pg.C_chromosome_80053
Locus_207_Transcript_1/1_Confidence_1.000_Length_987	CHLREDRAFT_147004	7e-41	Chlre2_kg.scaffold_1000828
Locus_208_Transcript_1/3_Confidence_0.250_Length_878	CHLREDRAFT_195587	1e-88	MAY_e_gwW.1.736.1
Locus_210_Transcript_4/5_Confidence_0.357_Length_1845	CHLREDRAFT_8449	3e-10	fgenesh1_pg.C_scaffold_6000416
Locus_210_Transcript_5/5_Confidence_0.500_Length_1222	CHLREDRAFT_341326	4e-110	pm.chromosome_17_#_247
Locus_217_Transcript_3/3_Confidence_0.600_Length_773	CHLREDRAFT_195628	1e-41	MAY_159470
Locus_218_Transcript_1/1_Confidence_1.000_Length_893	CHLREDRAFT_195593	4e-112	MAY_e_gwW.77.18.1
Locus_220_Transcript_8/9_Confidence_0.321_Length_1267	CHLREDRAFT_135220	0.0	estExt_gwp_1W.C_90259
Locus_224_Transcript_30/499_Confidence_1.000_Length_1069	CHLREDRAFT_137163	5e-149	estExt_gwp_1W.C_190236
Locus_224_Transcript_39/499_Confidence_1.000_Length_910	CHLREDRAFT_146566	1e-50	Chlre2_kg.scaffold_1000390
Locus_224_Transcript_41/499_Confidence_1.000_Length_923	CHLREDRAFT_347576	5e-68	estExt_fgenesh1_pg.C_chromosome_160588
Locus_224_Transcript_71/499_Confidence_1.000_Length_1028	CHLREDRAFT_345688	1e-52	estExt_fgenesh1_pg.C_chromosome_100481
Locus_224_Transcript_93/499_Confidence_1.000_Length_1054	CHLREDRAFT_60124	3e-102	estExt_GenewiseH_1.C_780020
Locus_224_Transcript_96/499_Confidence_1.000_Length_749	CHLREDRAFT_121355	3e-71	e_gwW.45.29.1
Locus_224_Transcript_111/499_Confidence_1.000_Length_772	CHLREDRAFT_407917	2e-09	pasa_Sanger_mRNA35831
Locus_224_Transcript_116/499_Confidence_1.000_Length_1813	CHLREDRAFT_426044	4e-21	pasa_Sanger_mRNA7208
Locus_224_Transcript_133/499_Confidence_1.000_Length_441	CHLREDRAFT_186972	6e-40	estExt_fgenesh2_pg.C_50429
Locus_224_Transcript_136/499_Confidence_1.000_Length_1185	CHLREDRAFT_29247	1e-17	estExt_fgenesh1_pg.C_50057
Locus_224_Transcript_144/499_Confidence_1.000_Length_582	CHLREDRAFT_121098	2e-55	e_gwW.42.6.1
Locus_224_Transcript_191/499_Confidence_1.000_Length_683	CHLREDRAFT_307660	5e-89	kg.chromosome_6_#_1931_#_XP_001695501.1
Locus_224_Transcript_213/499_Confidence_1.000_Length_708	CHLREDRAFT_402783	3e-40	pasa_Sanger_mRNA26846
Locus_224_Transcript_219/499_Confidence_1.000_Length_1029	CHLREDRAFT_206095	1e-178	SKA_estExt_gwp_1H.C_80137
Locus_224_Transcript_222/499_Confidence_1.000_Length_576	CHLREDRAFT_132151	4e-59	estExt_gwp_1H.C_450123
Locus_224_Transcript_254/499_Confidence_1.000_Length_906	CHLREDRAFT_381234	1e-168	estExt_fgenesh1_pm.C_chromosome_160083
Locus_224_Transcript_266/499_Confidence_1.000_Length_1583	CHLREDRAFT_152316	6e-24	Chlre2_kg.scaffold_47000079
Locus_224_Transcript_493/499_Confidence_0.007_Length_1223	CHLREDRAFT_151833	4e-87	Chlre2_kg.scaffold_41000025
Locus_224_Transcript_496/499_Confidence_0.031_Length_5875	CHLREDRAFT_410707	3e-41	pasa_Sanger_mRNA25480
Locus_224_Transcript_497/499_Confidence_0.005_Length_2771	CHLREDRAFT_195230	0.0	estExt_fgenesh2_pg.C_950020
Locus_225_Transcript_1/3_Confidence_0.600_Length_1383	CHLREDRAFT_168484	1e-140	fgenesh2_pg.C_scaffold_2000130
Locus_226_Transcript_4/10_Confidence_0.151_Length_2112	CHLREDRAFT_134382	0.0	estExt_gwp_1W.C_30492
Locus_228_Transcript_1/1_Confidence_1.000_Length_745	CHLREDRAFT_162845	1e-98	fgenesh2_kg.C_scaffold_18000054
Locus_231_Transcript_1/1_Confidence_1.000_Length_990	CHLREDRAFT_144281	7e-109	Chlre2_kg.scaffold_10000161
Locus_232_Transcript_5/6_Confidence_0.364_Length_2522	CHLREDRAFT_82986	3e-59	estExt_GenewiseW_1.C_790051
Locus_233_Transcript_1/2_Confidence_0.231_Length_619	CHLREDRAFT_82172	3e-31	estExt_GenewiseW_1.C_490026
Locus_234_Transcript_1/2_Confidence_0.667_Length_1169	CHLREDRAFT_195620	2e-62	MAY_chlre3.5.118.2.11
Locus_236_Transcript_13/14_Confidence_0.299_Length_4569	CHLREDRAFT_206108	3e-173	SKA_Chlre2_kg.scaffold_10000167
